 Country,record_id ,constitution,phy_add,sec_address,state/county,country,authorization_info,reg_no,pharmacist_details,e_pharm_app,track_dlvry,eng_lang,lang_opt,other_lang,tele_helpline,chat___1,chat___2,chat___3,faq,complaints,review_testimonials,return_policy,privacy_policy,secur_encrypt,encrypt_certif,pay_gateway,pay_options___1,pay_options___2,pay_options___3,pay_options___4,pay_options___5,pay_options___6,pay_options___7,pay_options___8,pay_options___9,pay_options___10,pay_options___11,electronic_specify,other_pay,where_deliver,other_geo_cover,otc_sale,pom_sale,controlled_sale,herbal_altmed,nutra,indicat_use,side_effects,drug_interactions,online_consult,lab_services,prescription_upload___1,prescription_upload___2,prescription_upload___3,prescription_upload___4,prescription_upload___5,other_prescription_upload,refill_remind,ad_pres_drugs,ad_other_prod,discount_coupon,discount_meds,certi_accredi,certification_specify,promo_social_media___1,promo_social_media___2,promo_social_media___3,promo_social_media___4,promo_social_media___5,promo_social_media___6,promo_social_media___7,promo_social_media___8,other_social,e_pharmacy_website_complete,constitution_app,phy_add_app,sec_address_app,state_app,country_app,store_app___1,store_app___2,downloads_app,authorization_info_app,reg_no_app,pharmacist_details_app,track_dlvry_app,eng_lang_app,lang_opt_app,other_lang_app,tele_helpline_app,chat_app___1,chat_app___2,chat_app___3,faq_app,complaints_app,review_testimonials_app,return_policy_app,privacy_policy_app,secur_encrypt_app,encrypt_certif_app,pay_options_app___1,pay_options_app___2,pay_options_app___3,pay_options_app___4,pay_options_app___5,pay_options_app___6,pay_options_app___7,pay_options_app___8,pay_options_app___9,pay_options_app___10,pay_options_app___11,electronic_specify_app,other_pay_app,where_deliver_app,other_geo_cover_app,otc_sale_app,pom_sale_app,controlled_sale_app,herbal_altmed_app,nutra_app,indicat_use_app,side_effects_app,drug_interactions_app,online_consult_app,lab_services_app,app_prescription___1,app_prescription___2,app_prescription___3,app_prescription___4,app_prescription___5,other_upload,refill_remind_app,ad_pres_drugs_app,ad_other_prod_app,discount_coupon_app,discount_meds_app,certi_accredi_app,certification_specify_app,e_pharmacy_app_complete,"Total Visits (for the last full month, i.e. May 2023)","Total Visits for the previous 3 months (see graph lower down for traffic over the past 3 full months, i.e.March, April, May 2023)",Total Visits_past_3months
India,14,0,1,0,delhi,india,3,np,0,1,0,1,0,,2,0,0,1,1,0,0,1,1,0,,2,1,1,1,0,1,0,0,0,0,0,0,,,6,,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,,0,0,0,0,,0,,1,1,1,0,1,1,1,0,pinterest,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,787.2K,"2,100,000",2100000
India,15,0,0,0,np,np,3,np,0,0,0,1,0,,2,0,1,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,1,,unclear,6,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,1,1,0,,0,0,0,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.5K,"14,200",14200
India,16,1,0,0,rajasthan,india,3,np,0,1,0,1,1,hindi,2,0,1,0,0,0,1,1,1,0,,1,1,1,0,0,1,1,1,0,0,0,1,paytm,unclear,7," +19,000 Pincodes,presence in 10 cities already, pan india delivery",1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,,0,0,1,1,1,0,,1,1,1,0,1,1,0,0,,2,0,0,0,np,np,1,0,10K+,3,np,0,0,1,0,,2,0,0,1,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,1,,np,6,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,0,0,1,1,1,0,,2,53.7K,"177,800",177800
India,17,0,1,0,chandigarh,india,3,np,0,1,0,1,0,,2,0,1,0,0,0,0,0,1,0,,1,0,0,0,0,0,1,0,0,0,0,0,,,6,,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,,0,0,0,1,1,0,,1,1,1,0,1,1,0,0,,2,0,1,0,chandigarh,india,1,1,1K+,3,np,0,1,1,0,,2,0,1,0,1,1,0,1,1,0,,0,0,1,0,0,1,1,0,0,0,0,paytm,,6,,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,,1,0,1,1,1,0,,2,35.7K,"121,700",121700
India,18,0,1,0,madhyapradesh,india,3,np,0,1,1,1,0,,2,0,1,0,1,0,1,1,1,0,,1,1,1,1,0,1,1,1,0,0,0,0,paytm,,1,,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,,0,,1,1,1,0,1,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12.3K,"51,900",51900
India,19,0,0,0,np,np,3,np,0,0,0,1,0,,2,0,1,0,0,0,0,0,0,0,,2,1,1,1,0,1,1,0,0,0,0,0,,,1,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,1,1,0,,1,1,1,0,1,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.5K,"58,700",58700
India,20,0,0,0,np,np,3,np,0,0,1,1,1,"german,french,spanish,italian",2,0,0,1,1,0,1,1,0,0,,1,1,1,0,0,0,0,0,0,0,0,1,,bitcoin,5,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,,0,,0,0,0,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
India,21,0,1,1,"uttar pradesh,haryana",india,3,np,0,1,0,1,0,,4,0,1,0,0,0,1,1,1,0,,2,0,0,0,0,0,0,0,0,0,0,1,,unclear,1,,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,0,1,1,0,,1,1,1,0,1,1,0,0,,2,0,0,0,np,np,1,1,10K+,3,np,0,0,1,0,,4,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,1,,unclear,6,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,,0,,2,10.4K,"46,000",46000
India,22,1,1,0,westbengal,india,1,np,0,1,1,1,0,,2,0,0,1,1,0,0,1,1,0,,2,0,0,0,0,1,0,0,0,0,0,0,,,1,,1,1,1,1,1,1,1,3,0,0,1,0,0,0,0,,0,0,0,1,1,0,,1,1,1,0,1,1,0,0,,2,0,0,0,westbengal,india,1,1,50K+,3,np,0,0,1,0,,4,0,0,1,0,0,0,1,1,0,,0,0,0,0,1,0,0,0,0,0,0,,,1,,1,1,1,1,1,1,1,3,0,1,1,0,0,0,0,,0,0,1,1,1,0,,2,49.1K,"144,700",144700
India,23,0,1,0,telangana,india,3,np,0,0,1,1,0,,2,1,0,0,1,0,0,1,1,0,,1,1,1,1,0,1,1,1,0,0,0,1,"phonepe,amazonpay,mobikwik,freecharge,airtelmoney,olamoney,jiomoney,payzapp",EMI via zestmoney,3,,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,,0,0,0,1,1,0,,1,1,1,0,1,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,53.0K,"167,400",167400
